observed_on_details.date,species_guess,public_positional_accuracy,quality_metrics,taxon.name,geojson.coordinates,owners_identification_from_vision,identifications_count,num_identification_disagreements,location,place_guess,latitude,longitude
2022-06-02,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-0.1200111111, 51.5942583333]",True,2,0,"[51.5942583333, -0.1200111111]","London N22, UK",51.5942583333,-0.1200111111
2022-06-02,Harlekin-Marienkäfer,108.0,[],Harmonia axyridis,"[-0.2138978737, 51.4623479645]",True,2,0,"[51.4623479645, -0.2138978737]","Werter Road, London, England, GB",51.4623479645,-0.2138978737
2022-06-02,Asian Lady Beetle,19.0,[],Harmonia axyridis,"[-0.9827297755, 53.9627238055]",False,2,0,"[53.9627238055, -0.9827297755]","Owlwood Lane, York, England, GB",53.9627238055,-0.9827297755
2022-06-02,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[0.2361212298, 51.1883980935]",False,1,0,"[51.1883980935, 0.2361212298]","Tonbridge TN11 9BA, UK",51.1883980935,0.2361212298
2022-06-02,Harlequin Ladybird,,[],Harmonia axyridis,"[-1.502998, 52.2190170278]",True,2,0,"[52.2190170278, -1.502998]","Warwickshire, England, GB",52.2190170278,-1.502998
2022-06-02,Asian Lady Beetle,,[],Harmonia axyridis,"[-2.0881945, 53.4139033333]",False,2,0,"[53.4139033333, -2.0881945]","Guywood Lane, Stockport, England, GB",53.4139033333,-2.0881945
2022-06-02,Asian Lady Beetle,8.0,[],Harmonia axyridis,"[-0.0563897565, 51.6366280119]",False,2,0,"[51.6366280119, -0.0563897565]","London N9, UK",51.6366280119,-0.0563897565
2022-06-02,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-0.1965638889, 51.548525]",True,1,0,"[51.548525, -0.1965638889]","London, UK",51.548525,-0.1965638889
2022-06-02,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.1965638889, 51.548525]",True,1,0,"[51.548525, -0.1965638889]","London, UK",51.548525,-0.1965638889
2022-06-02,Asian Lady Beetle,15.0,[],Harmonia axyridis,"[-0.3856842578, 51.3563187663]",False,1,0,"[51.3563187663, -0.3856842578]","Esher, UK",51.3563187663,-0.3856842578
2022-06-02,Asian Lady Beetle,6.0,[],Harmonia axyridis,"[-0.4423883333, 51.250295]",,2,0,"[51.250295, -0.4423883333]","Surrey Hills AONB, Leatherhead, England, GB",51.250295,-0.4423883333
2022-06-02,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-1.6849555556, 52.7672944444]",True,1,0,"[52.7672944444, -1.6849555556]","Staffordshire, UK",52.7672944444,-1.6849555556
2022-06-02,Biedronka azjatycka,5.0,[],Harmonia axyridis,"[-1.8934624195, 52.7451553345]",True,1,0,"[52.7451553345, -1.8934624195]",Rugeley,52.7451553345,-1.8934624195
2022-06-02,Asian Lady Beetle,35.0,[],Harmonia axyridis,"[-1.9073041502, 52.4355023292]",True,1,0,"[52.4355023292, -1.9073041502]","Greenoak Crescent, Birmingham, England, GB",52.4355023292,-1.9073041502
2022-06-02,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-0.3193883333, 51.4338333333]",True,2,0,"[51.4338333333, -0.3193883333]","Riverside Dr, Richmond, England, GB",51.4338333333,-0.3193883333
2022-06-02,Asian Lady Beetle,35.0,[],Harmonia axyridis,"[-0.0871721667, 51.4775416667]",True,1,0,"[51.4775416667, -0.0871721667]","Benhill Road, London, England, GB",51.4775416667,-0.0871721667
2022-06-02,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.9909111111, 52.3778805556]",True,1,0,"[52.3778805556, -1.9909111111]","Cofton Hackett, Birmingham, UK",52.3778805556,-1.9909111111
2022-06-02,Harlekin-Marienkäfer,6.0,[],Harmonia axyridis,"[0.1118087702, 52.225727995]",True,2,0,"[52.225727995, 0.1118087702]","Histon Road, Cambridge, England, GB",52.225727995,0.1118087702
2022-06-02,Asian Lady Beetle,22.0,[],Harmonia axyridis,"[-0.1012068712, 51.6337737019]",False,1,0,"[51.6337737019, -0.1012068712]","Station Road, London, England, GB",51.6337737019,-0.1012068712
2022-06-02,Asian Lady Beetle,22.0,[],Harmonia axyridis,"[-0.1009562241, 51.6337321976]",False,1,0,"[51.6337321976, -0.1009562241]","Station Road, London, England, GB",51.6337321976,-0.1009562241
2022-06-02,Harlekin-Marienkäfer,8.0,[],Harmonia axyridis,"[-2.8815638646, 53.2262443345]",False,1,0,"[53.2262443345, -2.8815638646]","Caughall, Chester CH2, UK",53.2262443345,-2.8815638646
2022-06-02,Asian Lady Beetle,9.0,[],Harmonia axyridis,"[-0.4407724366, 51.1460095]",True,1,0,"[51.1460095, -0.4407724366]","Ewhurst, Cranleigh GU6 7RW, UK",51.1460095,-0.4407724366
2022-06-02,Asian Lady Beetle,,[],Harmonia axyridis,"[-2.5051901997, 53.6110681997]",True,1,0,"[53.6110681997, -2.5051901997]","Bolton BL1 7PD, UK",53.6110681997,-2.5051901997
2022-06-02,Harlekin-Marienkäfer,40.0,[],Harmonia axyridis,"[-1.6079062223, 55.0041847229]",True,1,0,"[55.0041847229, -1.6079062223]",Newcastle Upon Tyne,55.0041847229,-1.6079062223
2022-06-02,Asian Lady Beetle,6.0,[],Harmonia axyridis,"[-0.4423666667, 51.250295]",,2,0,"[51.250295, -0.4423666667]","Surrey Hills AONB, Leatherhead, England, GB",51.250295,-0.4423666667
2022-06-02,Asian Lady Beetle,25972.0,[],Harmonia axyridis,"[-1.3718343255, 52.8052409728]",True,1,0,"[52.8052409728, -1.3718343255]","England, GB",52.8052409728,-1.3718343255
2022-06-02,Harlekin-Marienkäfer,25972.0,[],Harmonia axyridis,"[-1.3393417613, 52.9114414591]",False,1,0,"[52.9114414591, -1.3393417613]","England, GB",52.9114414591,-1.3393417613
2022-06-02,Harlekin-Marienkäfer,25813.0,[],Harmonia axyridis,"[-1.7073590583, 53.8302816608]",True,1,0,"[53.8302816608, -1.7073590583]","West Yorkshire, England, GB",53.8302816608,-1.7073590583
2022-06-02,Harlekin-Marienkäfer,25813.0,[],Harmonia axyridis,"[-1.7123051374, 53.8923373613]",True,1,0,"[53.8923373613, -1.7123051374]","West Yorkshire, England, GB",53.8923373613,-1.7123051374
2022-05-27,Harlekin-Marienkäfer,6.0,[],Harmonia axyridis,"[-0.0347388333, 51.5540583333]",True,2,0,"[51.5540583333, -0.0347388333]","Lindisfarne Way, London, England, GB",51.5540583333,-0.0347388333
2022-06-01,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.5214911103, 53.3908902745]",True,4,1,"[53.3908902745, -1.5214911103]","Rivelin Valley, Sheffield S6, UK",53.3908902745,-1.5214911103
2022-06-02,Asian Lady Beetle,12.0,[],Harmonia axyridis,"[-4.2647757009, 55.8779142844]",False,7,2,"[55.8779142844, -4.2647757009]","Hopehill Road, Glasgow G20 7JL, UK",55.8779142844,-4.2647757009
2022-05-25,Asian Lady Beetle,,[],Harmonia axyridis,"[-1.4758333333, 52.7419444444]",,2,0,"[52.7419444444, -1.4758333333]","Ashby-de-la-Zouch LE65, UK",52.7419444444,-1.4758333333
2022-05-30,Asian Lady Beetle,428.0,[],Harmonia axyridis,"[-2.9511558, 54.8789243]",True,1,0,"[54.8789243, -2.9511558]","Carlisle Cemetery, Carlisle ",54.8789243,-2.9511558
2022-06-01,Asian Lady Beetle,,[],Harmonia axyridis,"[0.2839361111, 51.1958527778]",True,1,0,"[51.1958527778, 0.2839361111]","Tonbridge, UK",51.1958527778,0.2839361111
2022-05-31,Harmonia axyridis,1.0,[],Harmonia axyridis,"[-2.8667875033, 53.3366228198]",True,1,0,"[53.3366228198, -2.8667875033]","Speke Hall Grounds, The Walk, Speke, Liverpool, Merseyside, UK",53.3366228198,-2.8667875033
2022-05-31,Harmonia axyridis,1.0,[],Harmonia axyridis,"[-2.8668054188, 53.3365838799]",True,1,0,"[53.3365838799, -2.8668054188]","Speke Hall Grounds, The Walk, Speke, Liverpool, Merseyside, UK",53.3365838799,-2.8668054188
2022-05-27,Harlekin-Marienkäfer,314.0,[],Harmonia axyridis,"[1.1173891649, 51.33153359]",False,1,0,"[51.33153359, 1.1173891649]",Wildwood Trust,51.33153359,1.1173891649
2022-06-01,Harlekin-Marienkäfer,6.0,[],Harmonia axyridis,"[-1.9884216667, 53.7096633333]",True,1,0,"[53.7096633333, -1.9884216667]","Hebden Royd CP, Hebden Bridge, England, GB",53.7096633333,-1.9884216667
2022-06-01,Asian Lady Beetle,34.0,[],Harmonia axyridis,"[-2.0958528333, 53.287655]",False,3,0,"[53.287655, -2.0958528333]","Higher Lane, Macclesfield, England, GB",53.287655,-2.0958528333
2022-06-01,Asian Lady Beetle,28.0,[],Harmonia axyridis,"[-2.4756716667, 51.43062]",False,2,0,"[51.43062, -2.4756716667]","Bath Road, Bristol, England, GB",51.43062,-2.4756716667
2022-06-01,Harlekin-Marienkäfer,6.0,[],Harmonia axyridis,"[-1.148876287, 51.5732803315]",True,1,0,"[51.5732803315, -1.148876287]","Cholsey, Wallingford OX10, UK",51.5732803315,-1.148876287
2022-05-31,Harlekin-Marienkäfer,4.0,[],Harmonia axyridis,"[1.2427033333, 52.5880083333]",False,1,0,"[52.5880083333, 1.2427033333]","Keswick and Intwood CP, Norwich, England, GB",52.5880083333,1.2427033333
2022-06-01,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[0.005797, 50.987875]",True,1,0,"[50.987875, 0.005797]","Uckfield TN22 3FB, UK",50.987875,0.005797
2022-06-01,Harlekin-Marienkäfer,13.0,[],Harmonia axyridis,"[-0.5221325, 53.2316381]",,2,0,"[53.2316381, -0.5221325]","Lincoln, UK",53.2316381,-0.5221325
2022-05-30,Harlekin-Marienkäfer,1.0,[],Harmonia axyridis,"[-0.1781885151, 51.4961588588]",True,2,0,"[51.4961588588, -0.1781885151]","South Kensington, London, UK",51.4961588588,-0.1781885151
2022-05-30,Asian Lady Beetle,1.0,[],Harmonia axyridis,"[-0.1781612711, 51.4961495088]",True,2,0,"[51.4961495088, -0.1781612711]","South Kensington, London, UK",51.4961495088,-0.1781612711
2021-10-03,Harlekin-Marienkäfer,2.0,[],Harmonia axyridis,"[0.6055432443, 52.9629851265]",True,1,0,"[52.9629851265, 0.6055432443]","Titchwell, Norfolk, UK",52.9629851265,0.6055432443
2022-06-01,Harlekin-Marienkäfer,15.0,[],Harmonia axyridis,"[-4.2668752, 55.8687006]",True,1,0,"[55.8687006, -4.2668752]","Glasgow G3, UK",55.8687006,-4.2668752
2022-06-01,Harlekin-Marienkäfer,36.0,[],Harmonia axyridis,"[-4.2662793, 55.8697508]",True,2,0,"[55.8697508, -4.2662793]","New City Road, Glasgow G4 9PA, UK",55.8697508,-4.2662793
2022-06-01,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-4.2715716667, 55.8667833333]",True,1,0,"[55.8667833333, -4.2715716667]","Charing Cross, Glasgow G3 7UJ, UK",55.8667833333,-4.2715716667
2022-06-01,Asian Lady Beetle,12.0,[],Harmonia axyridis,"[-3.0876133442, 50.8151168823]",True,4,1,"[50.8151168823, -3.0876133442]",Honiton,50.8151168823,-3.0876133442
2022-06-01,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-2.54756149, 51.49124027]",False,2,0,"[51.49124027, -2.54756149]","Stapleton, Bristol BS16 1ZS, UK",51.49124027,-2.54756149
2022-06-01,Harlekin-Marienkäfer,44.0,[],Harmonia axyridis,"[-3.0899100304, 50.8147850037]",True,1,0,"[50.8147850037, -3.0899100304]",Honiton,50.8147850037,-3.0899100304
2022-06-01,Asian Lady Beetle,630.0,[],Harmonia axyridis,"[-2.8050436335, 53.4334810637]",True,4,1,"[53.4334810637, -2.8050436335]","Prescot Bypass, Prescot, England, GB",53.4334810637,-2.8050436335
2022-06-01,Harlekin-Marienkäfer,8.0,[],Harmonia axyridis,"[-2.3149533333, 51.4053783333]",True,1,0,"[51.4053783333, -2.3149533333]","Bannerdown Road, Bath, England, GB",51.4053783333,-2.3149533333
2022-06-01,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-2.203026088, 51.4256026783]",True,1,0,"[51.4256026783, -2.203026088]","Savernake Road, Corsham, England, GB",51.4256026783,-2.203026088
2022-05-30,Harlekin-Marienkäfer,10.0,[],Harmonia axyridis,"[-0.1782414887, 51.4961672081]",True,2,0,"[51.4961672081, -0.1782414887]","South Kensington, London, UK",51.4961672081,-0.1782414887
2022-05-30,Harlekin-Marienkäfer,1.0,[],Harmonia axyridis,"[-0.1783990685, 51.4963020487]",True,2,0,"[51.4963020487, -0.1783990685]","South Kensington, London, UK",51.4963020487,-0.1783990685
2022-05-22,Asian Lady Beetle,48.0,[],Harmonia axyridis,"[-1.4687438185, 53.565892543]",False,2,0,"[53.565892543, -1.4687438185]","Barnsley, UK",53.565892543,-1.4687438185
2022-05-31,Harmonia axyridis,1.0,[],Harmonia axyridis,"[-2.867581513, 53.336514269]",True,1,0,"[53.336514269, -2.867581513]","Speke Hall Grounds, Speke, Liverpool, UK",53.336514269,-2.867581513
2022-05-31,Harlekin-Marienkäfer,22.0,[],Harmonia axyridis,"[-0.3218752471, 51.433397915]",True,1,0,"[51.433397915, -0.3218752471]","Richmond upon Thames, Richmond, England, GB",51.433397915,-0.3218752471
2022-05-31,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-0.6038200833, 51.21527849]",False,1,0,"[51.21527849, -0.6038200833]","Charterhouse, Godalming, Guildford GU3, UK",51.21527849,-0.6038200833
2022-05-31,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.6037722267, 51.2152715067]",True,2,0,"[51.2152715067, -0.6037722267]","Charterhouse, Godalming, Guildford GU3, UK",51.2152715067,-0.6037722267
2022-05-31,Asian Lady Beetle,39.0,[],Harmonia axyridis,"[-2.57947, 51.4722416667]",True,1,0,"[51.4722416667, -2.57947]","Church Point, Bristol, England, GB",51.4722416667,-2.57947
2022-05-31,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-4.2700139722, 55.882117]",,3,0,"[55.882117, -4.2700139722]","Springbank Street, Glasgow G20 7AH, UK",55.882117,-4.2700139722
2022-05-31,Harlequin Ladybird,4.0,[],Harmonia axyridis,"[-3.08501368, 53.54546966]",False,1,0,"[53.54546966, -3.08501368]","Formby, Liverpool L37, UK",53.54546966,-3.08501368
2022-05-29,Harlekin-Marienkäfer,4.0,[],Harmonia axyridis,"[0.1136361667, 52.2010083333]",True,1,0,"[52.2010083333, 0.1136361667]","Queens' Green, Cambridge, England, GB",52.2010083333,0.1136361667
2022-05-31,Asian Lady Beetle,10.0,[],Harmonia axyridis,"[0.2383055556, 52.0268333333]",True,1,0,"[52.0268333333, 0.2383055556]","Saffron Walden, UK",52.0268333333,0.2383055556
2022-05-31,Asian Lady Beetle,62.0,[],Harmonia axyridis,"[-2.6215584278, 50.9198455811]",True,1,0,"[50.9198455811, -2.6215584278]",Yeovil,50.9198455811,-2.6215584278
2022-05-31,Asian Lady Beetle,65.0,[],Harmonia axyridis,"[-2.7005174869, 53.7614010555]",False,2,0,"[53.7614010555, -2.7005174869]","Market Hall, Preston, England, GB",53.7614010555,-2.7005174869
2022-05-31,Harlekin-Marienkäfer,150.0,[],Harmonia axyridis,"[-1.5306713828, 51.0434881396]",False,1,0,"[51.0434881396, -1.5306713828]","River Test, Romsey, England, GB",51.0434881396,-1.5306713828
2022-05-29,Harlekinkatica,175.0,[],Harmonia axyridis,"[-0.8130576834, 53.0801941775]",True,2,0,"[53.0801941775, -0.8130576834]","Newark Castle, Newark NG24 1FW, UK",53.0801941775,-0.8130576834
2022-05-30,Asian Lady Beetle,109.0,[],Harmonia axyridis,"[-0.5915813539, 53.2053017327]",True,3,0,"[53.2053017327, -0.5915813539]","Lincoln, UK",53.2053017327,-0.5915813539
2022-05-22,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-1.7155341542, 52.2056681254]",False,5,1,"[52.2056681254, -1.7155341542]","Stratford-upon-Avon CV37, UK",52.2056681254,-1.7155341542
2022-05-30,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[0.4865416667, 51.95813]",True,2,0,"[51.95813, 0.4865416667]","Wethersfield, Braintree, England, GB",51.95813,0.4865416667
2022-05-30,Asian Lady Beetle,,[],Harmonia axyridis,"[-0.5603333333, 51.6128527778]",False,2,0,"[51.6128527778, -0.5603333333]","Chalfont Saint Peter Tennis Club, Chalfont St Peter, Gerrards Cross SL9 9PG, UK",51.6128527778,-0.5603333333
2022-05-30,Coccinelle asiatique,23.0,[],Harmonia axyridis,"[-0.9827289694, 53.9627326377]",True,2,0,"[53.9627326377, -0.9827289694]","Owlwood Lane, York, England, GB",53.9627326377,-0.9827289694
2022-05-27,Asian Lady Beetle,,[],Harmonia axyridis,"[-2.3136009722, 53.473176]",True,2,0,"[53.473176, -2.3136009722]","Trafford Park, Stretford, Manchester, UK",53.473176,-2.3136009722
2022-05-30,Harlekin-Marienkäfer,109.0,[],Harmonia axyridis,"[-0.5915813539, 53.2053017327]",True,2,0,"[53.2053017327, -0.5915813539]","Lincoln, UK",53.2053017327,-0.5915813539
2022-05-30,Harlekin-Marienkäfer,15.0,[],Harmonia axyridis,"[-2.3985591249, 51.4022901633]",True,4,1,"[51.4022901633, -2.3985591249]","Broadmoor Lane, Bath, England, GB",51.4022901633,-2.3985591249
2022-05-30,Asian Lady Beetle,35.0,[],Harmonia axyridis,"[-0.9752616667, 51.1478083333]",,2,0,"[51.1478083333, -0.9752616667]","Turk St, Alton, England, GB",51.1478083333,-0.9752616667
2022-05-30,Harlekin-Marienkäfer,26132.0,[],Harmonia axyridis,"[-2.0861550729, 51.8552659471]",False,3,0,"[51.8552659471, -2.0861550729]","Gloucestershire, England, GB",51.8552659471,-2.0861550729
2022-05-29,Harlekin-Marienkäfer,4.0,[],Harmonia axyridis,"[0.1136778333, 52.201]",,2,0,"[52.201, 0.1136778333]","Queens' Green, Cambridge, England, GB",52.201,0.1136778333
2022-05-30,Asian Lady Beetle,26229.0,[],Harmonia axyridis,"[-2.341840745, 51.2503166711]",True,2,0,"[51.2503166711, -2.341840745]","England, GB",51.2503166711,-2.341840745
2022-05-30,Harlekin-Marienkäfer,6.0,[],Harmonia axyridis,"[-2.8790533333, 53.4512783333]",True,2,0,"[53.4512783333, -2.8790533333]","Woodvale Road, Liverpool, England, GB",53.4512783333,-2.8790533333
2022-05-28,Asian Lady Beetle,1.0,[],Harmonia axyridis,"[-3.0031077565, 53.3592441218]",True,2,0,"[53.3592441218, -3.0031077565]","New Ferry, Birkenhead, UK",53.3592441218,-3.0031077565
2022-05-30,Asian Lady Beetle,6.0,[],Harmonia axyridis,"[-0.29782207, 51.47556981]",False,4,1,"[51.47556981, -0.29782207]","Royal Botanic Gardens, Kew, GB-HU, England, GB",51.47556981,-0.29782207
2022-05-30,Asian Lady Beetle,6.0,[],Harmonia axyridis,"[-0.29682359, 51.47575378]",,2,0,"[51.47575378, -0.29682359]","Royal Botanic Gardens, Kew, GB-HU, England, GB",51.47575378,-0.29682359
2022-04-21,Coccinelle asiatique,,[],Harmonia axyridis,"[-0.0210629722, 51.5934629722]",True,2,0,"[51.5934629722, -0.0210629722]","Aveling Centre, Lloyd Park, London E17 5JW, UK",51.5934629722,-0.0210629722
2022-05-30,Asian Lady Beetle,26196.0,[],Harmonia axyridis,"[-2.5033368229, 51.4315585845]",True,2,0,"[51.4315585845, -2.5033368229]","England, GB",51.4315585845,-2.5033368229
2022-05-30,Harlekin-Marienkäfer,26164.0,[],Harmonia axyridis,"[-1.1744211542, 51.6391574952]",True,2,0,"[51.6391574952, -1.1744211542]","Oxfordshire, England, GB",51.6391574952,-1.1744211542
2022-05-30,Asian Lady Beetle,66.0,[],Harmonia axyridis,"[-2.0830180645, 52.8019142151]",True,1,0,"[52.8019142151, -2.0830180645]",Stafford,52.8019142151,-2.0830180645
2022-05-30,Asian Lady Beetle,26196.0,[],Harmonia axyridis,"[-2.1175844481, 51.5124093779]",True,1,0,"[51.5124093779, -2.1175844481]","Wiltshire, England, GB",51.5124093779,-2.1175844481
2022-05-30,Asian Lady Beetle,26196.0,[],Harmonia axyridis,"[-2.1064955877, 51.4775571402]",True,1,0,"[51.4775571402, -2.1064955877]","Wiltshire, England, GB",51.4775571402,-2.1064955877
2019-04-18,Asian Lady Beetle,4.0,[],Harmonia axyridis,"[-1.4332723618, 52.8999484023]",False,1,0,"[52.8999484023, -1.4332723618]","Alvaston, Derby, UK",52.8999484023,-1.4332723618
2022-05-30,Asian Lady Beetle,50.0,[],Harmonia axyridis,"[-1.0010672808, 52.2104873657]",True,4,1,"[52.2104873657, -1.0010672808]",Northampton,52.2104873657,-1.0010672808
2022-05-30,Asian Lady Beetle,40.0,[],Harmonia axyridis,"[-1.0010408163, 52.2103042603]",True,2,0,"[52.2103042603, -1.0010408163]",Northampton,52.2103042603,-1.0010408163
2022-05-30,Asian Lady Beetle,8.0,[],Harmonia axyridis,"[-1.51115607, 53.40529494]",,2,0,"[53.40529494, -1.51115607]","Sheffield S6, UK",53.40529494,-1.51115607
2022-05-12,Asian Lady Beetle,14.0,[],Harmonia axyridis,"[-0.153189674, 51.526613155]",False,2,0,"[51.526613155, -0.153189674]","London NW1 4NU, UK",51.526613155,-0.153189674
2022-05-24,Harmonia axyridis,1.0,[],Harmonia axyridis,"[-2.9384093958, 53.3892896592]",True,1,0,"[53.3892896592, -2.9384093958]","St Agnes Field, Ullet Road, Sefton Park, Liverpool, Merseyside, UK",53.3892896592,-2.9384093958
2022-05-24,Asian Lady Beetle,1.0,[],Harmonia axyridis,"[-2.9385359909, 53.3892639824]",False,2,0,"[53.3892639824, -2.9385359909]","St Agnes Field, Ullet Road, Sefton Park, Liverpool, Merseyside, UK",53.3892639824,-2.9385359909
2022-05-29,Многоцветна азиатска калинка,,[],Harmonia axyridis,"[-0.884902, 52.27103]",False,1,0,"[52.27103, -0.884902]","Northamptonshire, England, United Kingdom",52.27103,-0.884902
2022-05-29,Многоцветна азиатска калинка,14.0,[],Harmonia axyridis,"[0.1884033333, 51.35113]",True,1,0,"[51.35113, 0.1884033333]","Redmans Lane, Sevenoaks, England, GB",51.35113,0.1884033333
2022-05-29,Harlekin-Marienkäfer,112.0,[],Harmonia axyridis,"[0.18717, 51.3495416667]",True,1,0,"[51.3495416667, 0.18717]","Castle Farm Cottages, Sevenoaks, England, GB",51.3495416667,0.18717
2022-05-29,Harlekin-Marienkäfer,1595.0,[],Harmonia axyridis,"[0.1791283333, 51.3256533333]",True,1,0,"[51.3256533333, 0.1791283333]","Darenth Valley Golf Course, Sevenoaks, England, GB",51.3256533333,0.1791283333
2022-05-19,Harmonia axyridis,2.0,[],Harmonia axyridis,"[-2.7207238626, 53.4399983858]",True,1,0,"[53.4399983858, -2.7207238626]","St Helens Hospital Grounds, Marshalls Cross Road, St Helens, Merseyside, UK",53.4399983858,-2.7207238626
2022-05-29,Asian Lady Beetle,31.0,[],Harmonia axyridis,"[-1.3743333293, 53.3390651266]",True,2,0,"[53.3390651266, -1.3743333293]","South Yorkshire, UK",53.3390651266,-1.3743333293
2022-05-19,Harmonia axyridis,2.0,[],Harmonia axyridis,"[-2.7205701567, 53.4404197683]",True,1,0,"[53.4404197683, -2.7205701567]","St Helens Hospital Grounds, Marshalls Cross Road, St Helens, Merseyside, UK",53.4404197683,-2.7205701567
2022-05-19,Harmonia axyridis,2.0,[],Harmonia axyridis,"[-2.7170069006, 53.4412478371]",True,1,0,"[53.4412478371, -2.7170069006]","St Helens Hospital Grounds, Marshalls Cross Road, St Helens, Merseyside, UK",53.4412478371,-2.7170069006
2022-05-29,Asian Lady Beetle,26293.0,[],Harmonia axyridis,"[-0.448979989, 50.9698330987]",True,1,0,"[50.9698330987, -0.448979989]","England, GB",50.9698330987,-0.448979989
2022-05-28,Harlekin-Marienkäfer,263.0,[],Harmonia axyridis,"[-0.2306461187, 51.4392853995]",False,3,0,"[51.4392853995, -0.2306461187]","Wimbledon Common, Wimbledon, SW London, UK",51.4392853995,-0.2306461187
2022-05-29,Harlekin-Marienkäfer,24.0,[],Harmonia axyridis,"[0.6518955827, 52.0779418945]",True,1,0,"[52.0779418945, 0.6518955827]",Sudbury,52.0779418945,0.6518955827
2022-05-29,Biedronka azjatycka,15.0,[],Harmonia axyridis,"[-0.2379866667, 51.4987216667]",False,1,0,"[51.4987216667, -0.2379866667]","Ravenscourt Park, London, England, GB",51.4987216667,-0.2379866667
2022-05-29,Harlekin-Marienkäfer,5.0,[],Harmonia axyridis,"[-0.237945, 51.49863]",True,2,0,"[51.49863, -0.237945]","Ravenscourt Park, London, England, GB",51.49863,-0.237945
2022-05-19,Harmonia axyridis,2.0,[],Harmonia axyridis,"[-2.7190303644, 53.440770882]",True,1,0,"[53.440770882, -2.7190303644]","St Helens Hospital Grounds, Marshalls Cross Road, St Helens, Merseyside, UK",53.440770882,-2.7190303644
2022-05-29,Harlekin-Marienkäfer,35.0,[],Harmonia axyridis,"[-1.5320612192, 53.8276062012]",True,1,0,"[53.8276062012, -1.5320612192]",Leeds,53.8276062012,-1.5320612192
2022-05-29,Harlekin-Marienkäfer,35.0,[],Harmonia axyridis,"[-2.1680514235, 53.4347844114]",True,1,0,"[53.4347844114, -2.1680514235]","Waverton Ave, Stockport, England, GB",53.4347844114,-2.1680514235
2022-05-29,Harlekin-Marienkäfer,35.0,[],Harmonia axyridis,"[-0.8257653713, 51.2052879333]",True,1,0,"[51.2052879333, -0.8257653713]",Farnham,51.2052879333,-0.8257653713
2022-05-29,Harlekin-Marienkäfer,1036.0,[],Harmonia axyridis,"[-2.9373780456, 53.4311374138]",True,1,0,"[53.4311374138, -2.9373780456]","Worcester Dr, Liverpool, England, GB",53.4311374138,-2.9373780456
2022-05-29,Asian Lady Beetle,8.0,[],Harmonia axyridis,"[-1.1941383333, 52.9519883333]",False,3,0,"[52.9519883333, -1.1941383333]","Wollaton, Nottingham, UK",52.9519883333,-1.1941383333
2022-05-27,Harlekin-Marienkäfer,163.0,[],Harmonia axyridis,"[-2.0135782287, 52.7176656719]",False,1,0,"[52.7176656719, -2.0135782287]","Hednesford, Cannock WS12 4FP, UK",52.7176656719,-2.0135782287
2022-05-17,Asian Lady Beetle,72.0,[],Harmonia axyridis,"[-2.4416628107, 51.63333157]",False,2,0,"[51.63333157, -2.4416628107]","Tortworth, Wotton-under-Edge GL12 8HQ, UK",51.63333157,-2.4416628107
2022-05-29,Harlequin Ladybird,146.0,[],Harmonia axyridis,"[-0.1869753464, 51.4028550965]",False,0,0,"[51.4028550965, -0.1869753464]","Morden, UK",51.4028550965,-0.1869753464
2022-05-29,Harlequin Ladybird,92.0,[],Harmonia axyridis,"[-0.1859361, 51.4027293]",False,0,0,"[51.4027293, -0.1859361]","Morden Hall Rd, London, Morden SM4 5JD, UK",51.4027293,-0.1859361
2022-05-29,Harlekin-Marienkäfer,55.0,[],Harmonia axyridis,"[-0.0478764795, 51.5094332487]",,2,0,"[51.5094332487, -0.0478764795]","King Edward VII Memorial Park, London, England, GB",51.5094332487,-0.0478764795
2022-05-29,Asian Lady Beetle,35.0,[],Harmonia axyridis,"[-1.4127259254, 50.9136695862]",True,1,0,"[50.9136695862, -1.4127259254]",Southampton,50.9136695862,-1.4127259254
2022-05-29,Harlekin-Marienkäfer,4.0,[],Harmonia axyridis,"[-0.87000093, 51.37987229]",False,1,0,"[51.37987229, -0.87000093]","Finchampstead RG40, UK",51.37987229,-0.87000093
2022-05-19,Harlekin-Marienkäfer,,[],Harmonia axyridis,"[-2.0022111167, 53.365445]",False,2,0,"[53.365445, -2.0022111167]","Rock Mill Lane, High Peak, England, GB",53.365445,-2.0022111167
